SL NO,NICKNAME/ITEM NAME,PRINT NAME,ITEM KGS/QTY,COUPON,WARE
1,R 250 15KGS,ROYAL 250 (15KG),15,1,MAHEWA
2,R 250 30KGS,ROYAL 250 (30KGS),30,2,MAHEWA
3,R 100 15KG,ROYAL 100,15,1,MAHEWA
4,R 100 30KGS,ROYAL 100,30,2,MAHEWA
5,PRE 250 15KGS,PREMIUM 250,15,1,MAHEWA
6,PRE 250 30KGS,PREMIUM 250,30,2,MAHEWA
7,MH 5/ ,MH PREMIUM 5/- (15G),10,1,MAHEWA
8,MH 10/,MH PREMIUM 10/- (30G),10,1,MAHEWA
9,MH 20/,MH PREMIUM 20/- (60G),12,1,MAHEWA
10,555 100,555 100G,15,1,MAHEWA
11,555 250,555 250G,15,1,SHOP
12,PREMIUM 1000,MH PREMIUM 1000 G,15,1,SHOP
13,PREMIUM 500,MH PREMIUM 500 G,15,1,SHOP
14,TT 5/,MH TEA TIME 5/- (14G),11,ZERO,MAHEWA
15,TT 10/,MH TEA TIME 10/- (28G),11,ZERO,MAHEWA
16,TT 250 15KG,TEA TIME 250G,15,ZERO,MAHEWA
17,TT 250 30KGS,TEA TIME 250G,30,ZERO,MAHEWA
18,TEA TIME 500,TEA TIME 500G,15,ZERO,SHOP
19,TEA TIME 1000,TEA TIME 1000G,15,ZERO,SHOP
